Rk,Player,PTS,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
10016,John Konchar,9,2024-01-28,27-312,MEM,@,IND,L 110-116,*,30,4,5,0.8,3,3,1,1,2,,,,,,,,,,,,,,,,,,,
10017,John Konchar,9,2024-03-04,27-348,MEM,@,BRK,W 106-102,*,31,2,3,0.667,1,2,0.5,1,1,,,,,,,,,,,,,,,,,,,
10018,Luke Kornet,9,2023-11-15,28-123,BOS,@,PHI,W 117-107,,19,4,4,1,4,4,1,0,0,,,,,,,,,,,,,,,,,,,
10019,Jonathan Kuminga,9,2023-10-29,21-023,GSW,@,HOU,W 106-95,,19,3,8,0.375,2,5,0.4,1,3,,,,,,,,,,,,,,,,,,,
10020,Kyle Kuzma,9,2024-01-05,28-165,WAS,@,CLE,L 90-114,*,25,4,14,0.286,3,10,0.3,1,4,,,,,,,,,,,,,,,,,,,
10021,Zach LaVine,9,2024-01-08,28-304,CHI,@,CHO,W 119-112 (OT),,36,2,8,0.25,0,2,0,2,6,,,,,,,,,,,,,,,,,,,
10022,Saben Lee,9,2023-12-27,24-187,PHO,@,HOU,W 129-113,,12,2,2,1,2,2,1,0,0,,,,,,,,,,,,,,,,,,,
10023,Caris LeVert,9,2023-12-21,29-118,CLE,,NOP,L 104-123,,23,3,9,0.333,2,5,0.4,1,4,,,,,,,,,,,,,,,,,,,
10024,Caris LeVert,9,2024-01-24,29-152,CLE,@,MIL,L 116-126,,28,4,10,0.4,3,6,0.5,1,4,,,,,,,,,,,,,,,,,,,
10025,Dereck Lively II,9,2023-10-27,19-257,DAL,,BRK,W 125-120,*,17,4,4,1,4,4,1,0,0,,,,,,,,,,,,,,,,,,,
10026,Dereck Lively II,9,2024-01-26,19-348,DAL,@,ATL,W 148-143,*,28,4,7,0.571,4,7,0.571,0,0,,,,,,,,,,,,,,,,,,,
10027,Dereck Lively II,9,2024-02-27,20-015,DAL,@,CLE,L 119-121,*,22,4,4,1,4,4,1,0,0,,,,,,,,,,,,,,,,,,,
10028,Dereck Lively II,9,2024-02-28,20-016,DAL,@,TOR,W 136-125,*,23,4,4,1,4,4,1,0,0,,,,,,,,,,,,,,,,,,,
10029,Isaiah Livers,9,2023-12-28,25-153,DET,@,BOS,L 122-128 (OT),,23,3,7,0.429,1,1,1,2,6,,,,,,,,,,,,,,,,,,,
10030,Kevon Looney,9,2024-01-12,27-340,GSW,@,CHI,W 140-131,*,27,4,4,1,4,4,1,0,0,,,,,,,,,,,,,,,,,,,
10031,Kevon Looney,9,2024-02-02,27-361,GSW,@,MEM,W 121-101,,11,4,4,1,4,4,1,0,0,,,,,,,,,,,,,,,,,,,
10032,Kevon Looney,9,2024-02-07,28-001,GSW,@,PHI,W 127-104,,17,4,8,0.5,4,8,0.5,0,0,,,,,,,,,,,,,,,,,,,
10033,Brook Lopez,9,2023-11-11,35-224,MIL,@,ORL,L 97-112,*,21,3,7,0.429,1,2,0.5,2,5,,,,,,,,,,,,,,,,,,,
10034,Brook Lopez,9,2023-12-05,35-248,MIL,,NYK,W 146-122,*,34,4,8,0.5,3,4,0.75,1,4,,,,,,,,,,,,,,,,,,,
10035,Brook Lopez,9,2023-12-29,35-272,MIL,@,CLE,W 119-111,*,36,4,10,0.4,3,7,0.429,1,3,,,,,,,,,,,,,,,,,,,
10036,Brook Lopez,9,2024-01-04,35-278,MIL,@,SAS,W 125-121,*,33,4,10,0.4,3,5,0.6,1,5,,,,,,,,,,,,,,,,,,,
10037,Brook Lopez,9,2024-02-12,35-317,MIL,,DEN,W 112-95,*,29,3,9,0.333,0,2,0,3,7,,,,,,,,,,,,,,,,,,,
10038,Brook Lopez,9,2024-03-06,35-340,MIL,@,GSW,L 90-125,*,28,4,11,0.364,3,7,0.429,1,4,,,,,,,,,,,,,,,,,,,
10039,Kevin Love,9,2023-10-27,35-050,MIA,@,BOS,L 111-119,*,21,3,7,0.429,1,3,0.333,2,4,,,,,,,,,,,,,,,,,,,
10040,Kevin Love,9,2023-12-18,35-102,MIA,,MIN,L 108-112,*,24,3,7,0.429,0,0,,3,7,,,,,,,,,,,,,,,,,,,
10041,Kevin Love,9,2024-01-21,35-136,MIA,@,ORL,L 87-105,,14,3,6,0.5,1,1,1,2,5,,,,,,,,,,,,,,,,,,,
10042,Kyle Lowry,9,2023-11-25,37-245,MIA,@,BRK,L 97-112,*,30,3,10,0.3,1,3,0.333,2,7,,,,,,,,,,,,,,,,,,,
10043,Trey Lyles,9,2023-11-24,28-019,SAC,@,MIN,W 124-111,,19,3,6,0.5,0,0,,3,6,,,,,,,,,,,,,,,,,,,
10044,Trey Lyles,9,2024-01-02,28-058,SAC,,CHO,L 104-111,,17,3,6,0.5,0,1,0,3,5,,,,,,,,,,,,,,,,,,,
10045,Trey Lyles,9,2024-01-14,28-070,SAC,@,MIL,L 142-143 (OT),,33,3,8,0.375,0,1,0,3,7,,,,,,,,,,,,,,,,,,,
10046,Trey Lyles,9,2024-03-04,28-120,SAC,,CHI,L 109-113,,21,3,10,0.3,2,4,0.5,1,6,,,,,,,,,,,,,,,,,,,
10047,Trey Lyles,9,2024-03-07,28-123,SAC,,SAS,W 131-129,,18,3,5,0.6,2,3,0.667,1,2,,,,,,,,,,,,,,,,,,,
10048,Théo Maledon,9,2023-10-30,22-140,CHO,,BRK,L 121-133,,20,2,9,0.222,2,4,0.5,0,5,,,,,,,,,,,,,,,,,,,
10049,Théo Maledon,9,2023-11-05,22-146,CHO,@,DAL,L 118-124,,21,4,9,0.444,3,3,1,1,6,,,,,,,,,,,,,,,,,,,
10050,Théo Maledon,9,2023-11-08,22-149,CHO,,WAS,L 116-132,,18,4,7,0.571,3,5,0.6,1,2,,,,,,,,,,,,,,,,,,,
10051,Terance Mann,9,2023-11-30,27-043,LAC,@,GSW,L 114-120,*,34,4,10,0.4,3,6,0.5,1,4,,,,,,,,,,,,,,,,,,,
10052,Terance Mann,9,2023-12-11,27-054,LAC,,POR,W 132-127,*,29,3,6,0.5,2,2,1,1,4,,,,,,,,,,,,,,,,,,,
10053,Terance Mann,9,2024-02-05,27-110,LAC,@,ATL,W 149-144,*,21,4,4,1,3,3,1,1,1,,,,,,,,,,,,,,,,,,,
10054,Terance Mann,9,2024-02-14,27-119,LAC,@,GSW,W 130-125,*,28,3,8,0.375,2,2,1,1,6,,,,,,,,,,,,,,,,,,,
10055,Tre Mann,9,2024-02-10,23-007,CHO,,MEM,W 115-106,*,27,4,11,0.364,3,6,0.5,1,5,,,,,,,,,,,,,,,,,,,
10056,Tre Mann,9,2024-02-29,23-026,CHO,,MIL,L 99-111,*,29,4,10,0.4,3,5,0.6,1,5,,,,,,,,,,,,,,,,,,,
10057,Tre Mann,9,2024-03-01,23-027,CHO,@,PHI,L 114-121,*,32,3,10,0.3,2,6,0.333,1,4,,,,,,,,,,,,,,,,,,,
10058,Naji Marshall,9,2023-12-28,25-338,NOP,,UTA,W 112-105,,16,4,5,0.8,3,4,0.75,1,1,,,,,,,,,,,,,,,,,,,
10059,Naji Marshall,9,2024-01-05,25-346,NOP,,LAC,L 95-111,,17,4,9,0.444,3,8,0.375,1,1,,,,,,,,,,,,,,,,,,,
10060,Caleb Martin,9,2023-12-13,28-076,MIA,,CHO,W 115-104,*,36,4,13,0.308,3,10,0.3,1,3,,,,,,,,,,,,,,,,,,,
10061,Caleb Martin,9,2024-01-15,28-109,MIA,@,BRK,W 96-95 (OT),,34,3,8,0.375,2,4,0.5,1,4,,,,,,,,,,,,,,,,,,,
10062,Caleb Martin,9,2024-02-07,28-132,MIA,,SAS,W 116-104,*,25,4,6,0.667,3,3,1,1,3,,,,,,,,,,,,,,,,,,,
10063,Cody Martin,9,2024-01-27,28-121,CHO,,UTA,L 122-134,*,29,3,8,0.375,2,5,0.4,1,3,,,,,,,,,,,,,,,,,,,
10064,KJ Martin,9,2024-01-06,23-000,PHI,,UTA,L 109-120,,17,4,7,0.571,4,6,0.667,0,1,,,,,,,,,,,,,,,,,,,
10065,KJ Martin,9,2024-02-14,23-039,PHI,,MIA,L 104-109,*,28,4,7,0.571,3,5,0.6,1,2,,,,,,,,,,,,,,,,,,,
10066,Garrison Mathews,9,2024-01-19,27-087,ATL,@,MIA,W 109-108,,20,3,5,0.6,0,1,0,3,4,,,,,,,,,,,,,,,,,,,
10067,Garrison Mathews,9,2024-01-22,27-090,ATL,@,SAC,L 107-122,,23,3,5,0.6,0,0,,3,5,,,,,,,,,,,,,,,,,,,
10068,Bennedict Mathurin,9,2023-11-12,21-146,IND,@,PHI,L 126-137,*,26,4,11,0.364,4,8,0.5,0,3,,,,,,,,,,,,,,,,,,,
10069,Bennedict Mathurin,9,2023-12-07,21-171,IND,@,MIL,W 128-119,,24,3,12,0.25,3,10,0.3,0,2,,,,,,,,,,,,,,,,,,,
10070,Tyrese Maxey,9,2023-12-13,23-039,PHI,@,DET,W 129-111,*,33,2,13,0.154,2,7,0.286,0,6,,,,,,,,,,,,,,,,,,,
10071,Skylar Mays,9,2023-11-03,26-059,POR,,MEM,W 115-113 (OT),,15,3,8,0.375,2,3,0.667,1,5,,,,,,,,,,,,,,,,,,,
10072,Miles McBride,9,2024-01-27,23-141,NYK,,MIA,W 125-109,,10,3,4,0.75,2,2,1,1,2,,,,,,,,,,,,,,,,,,,
10073,CJ McCollum,9,2023-12-07,32-079,NOP,@,LAL,L 89-133,*,25,4,14,0.286,3,10,0.3,1,4,,,,,,,,,,,,,,,,,,,
10074,T.J. McConnell,9,2023-12-07,31-257,IND,@,MIL,W 128-119,,11,4,7,0.571,4,7,0.571,0,0,,,,,,,,,,,,,,,,,,,
10075,T.J. McConnell,9,2023-12-13,31-263,IND,@,MIL,L 126-140,,16,4,9,0.444,4,7,0.571,0,2,,,,,,,,,,,,,,,,,,,
10076,T.J. McConnell,9,2023-12-15,31-265,IND,@,WAS,L 123-137,,20,4,10,0.4,4,10,0.4,0,0,,,,,,,,,,,,,,,,,,,
10077,T.J. McConnell,9,2023-12-20,31-270,IND,,CHO,W 144-113,,20,3,3,1,3,3,1,0,0,,,,,,,,,,,,,,,,,,,
10078,T.J. McConnell,9,2024-02-02,31-314,IND,,SAC,L 122-133,*,23,3,5,0.6,2,4,0.5,1,1,,,,,,,,,,,,,,,,,,,
10079,Jaden McDaniels,9,2024-01-12,23-105,MIN,,POR,W 116-93,*,24,4,8,0.5,3,5,0.6,1,3,,,,,,,,,,,,,,,,,,,
10080,Jaden McDaniels,9,2024-01-22,23-115,MIN,,CHO,L 125-128,*,35,3,9,0.333,1,2,0.5,2,7,,,,,,,,,,,,,,,,,,,
10081,Jaden McDaniels,9,2024-01-25,23-118,MIN,@,BRK,W 96-94,*,33,4,6,0.667,3,5,0.6,1,1,,,,,,,,,,,,,,,,,,,
10082,Jaden McDaniels,9,2024-03-04,23-157,MIN,,POR,W 119-114,*,24,3,7,0.429,3,4,0.75,0,3,,,,,,,,,,,,,,,,,,,
10083,Doug McDermott,9,2023-12-08,31-339,SAS,,CHI,L 112-121,,15,3,6,0.5,0,2,0,3,4,,,,,,,,,,,,,,,,,,,
10084,Doug McDermott,9,2024-01-27,32-024,SAS,,MIN,W 113-112,,17,3,5,0.6,0,0,,3,5,,,,,,,,,,,,,,,,,,,
10085,Jordan McLaughlin,9,2024-01-01,27-267,MIN,@,NYK,L 106-112,,12,4,5,0.8,3,3,1,1,2,,,,,,,,,,,,,,,,,,,
10086,Jordan McLaughlin,9,2024-02-27,27-324,MIN,,SAS,W 114-105,,16,3,4,0.75,0,0,,3,4,,,,,,,,,,,,,,,,,,,
10087,De'Anthony Melton,9,2023-11-27,25-183,PHI,,LAL,W 138-94,*,25,3,6,0.5,0,0,,3,6,,,,,,,,,,,,,,,,,,,
10088,De'Anthony Melton,9,2023-12-30,25-216,PHI,@,CHI,L 92-105,*,26,3,9,0.333,0,0,,3,9,,,,,,,,,,,,,,,,,,,
10089,Sam Merrill,9,2023-11-19,27-188,CLE,,DEN,W 121-109,,24,3,10,0.3,0,1,0,3,9,,,,,,,,,,,,,,,,,,,
10090,Sam Merrill,9,2023-11-22,27-191,CLE,,MIA,L 96-129,,17,3,6,0.5,0,1,0,3,5,,,,,,,,,,,,,,,,,,,
10091,Sam Merrill,9,2023-12-08,27-207,CLE,@,MIA,W 111-99,,10,3,5,0.6,0,0,,3,5,,,,,,,,,,,,,,,,,,,
10092,Sam Merrill,9,2023-12-16,27-215,CLE,,ATL,W 127-119,,8,3,6,0.5,0,0,,3,6,,,,,,,,,,,,,,,,,,,
10093,Sam Merrill,9,2024-02-01,27-262,CLE,@,MEM,W 108-101,,18,3,6,0.5,0,1,0,3,5,,,,,,,,,,,,,,,,,,,
10094,Sam Merrill,9,2024-02-05,27-266,CLE,,SAC,W 136-110,,11,3,4,0.75,0,0,,3,4,,,,,,,,,,,,,,,,,,,
10095,Sam Merrill,9,2024-02-08,27-269,CLE,@,BRK,W 118-95,,12,3,7,0.429,0,0,,3,7,,,,,,,,,,,,,,,,,,,
10096,Chimezie Metu,9,2023-12-29,26-282,PHO,,CHO,W 133-119,,19,2,3,0.667,1,2,0.5,1,1,,,,,,,,,,,,,,,,,,,
10097,Khris Middleton,9,2023-11-30,32-110,MIL,@,CHI,L 113-120 (OT),*,27,3,10,0.3,2,6,0.333,1,4,,,,,,,,,,,,,,,,,,,
10098,Brandon Miller,9,2023-11-20,20-363,CHO,,BOS,W 121-118 (OT),*,40,4,12,0.333,3,8,0.375,1,4,,,,,,,,,,,,,,,,,,,
10099,Brandon Miller,9,2024-01-05,21-044,CHO,@,CHI,L 91-104,*,23,3,13,0.231,2,6,0.333,1,7,,,,,,,,,,,,,,,,,,,
10100,Davion Mitchell,9,2023-11-29,25-085,SAC,,LAC,L 117-131,,13,3,7,0.429,2,2,1,1,5,,,,,,,,,,,,,,,,,,,
10101,Davion Mitchell,9,2024-02-07,25-155,SAC,,DET,L 120-133,,23,3,5,0.6,2,3,0.667,1,2,,,,,,,,,,,,,,,,,,,
10102,Davion Mitchell,9,2024-03-07,25-184,SAC,,SAS,W 131-129,,14,4,5,0.8,3,3,1,1,2,,,,,,,,,,,,,,,,,,,
10103,Malik Monk,9,2023-10-27,25-265,SAC,,GSW,L 114-122,,18,2,4,0.5,1,2,0.5,1,2,,,,,,,,,,,,,,,,,,,
10104,Malik Monk,9,2024-01-18,25-348,SAC,,IND,L 121-126,,26,3,9,0.333,1,3,0.333,2,6,,,,,,,,,,,,,,,,,,,
10105,Malik Monk,9,2024-01-27,25-357,SAC,@,DAL,W 120-115,,20,2,5,0.4,2,3,0.667,0,2,,,,,,,,,,,,,,,,,,,
10106,Moses Moody,9,2023-11-24,21-177,GSW,,SAS,W 118-112,*,17,4,4,1,3,3,1,1,1,,,,,,,,,,,,,,,,,,,
10107,Moses Moody,9,2024-03-09,21-283,GSW,,SAS,L 113-126,,26,2,11,0.182,2,5,0.4,0,6,,,,,,,,,,,,,,,,,,,
10108,Marcus Morris,9,2024-01-29,34-149,PHI,@,POR,L 104-130,,22,3,7,0.429,2,4,0.5,1,3,,,,,,,,,,,,,,,,,,,
10109,Monte Morris,9,2024-01-28,28-215,DET,,OKC,W 120-104,,14,4,8,0.5,3,6,0.5,1,2,,,,,,,,,,,,,,,,,,,
10110,Trey Murphy III,9,2024-02-02,23-229,NOP,@,SAS,W 114-113,*,27,4,9,0.444,3,7,0.429,1,2,,,,,,,,,,,,,,,,,,,
10111,Trey Murphy III,9,2024-02-12,23-239,NOP,@,MEM,W 96-87,,25,3,8,0.375,2,3,0.667,1,5,,,,,,,,,,,,,,,,,,,
10112,Trey Murphy III,9,2024-02-25,23-252,NOP,,CHI,L 106-114,*,37,3,11,0.273,0,2,0,3,9,,,,,,,,,,,,,,,,,,,
10113,Jamal Murray,9,2023-12-29,26-309,DEN,,OKC,L 93-119,*,36,4,15,0.267,3,9,0.333,1,6,,,,,,,,,,,,,,,,,,,
10114,Jamal Murray,9,2024-01-25,26-336,DEN,@,NYK,L 84-122,*,30,3,11,0.273,2,8,0.25,1,3,,,,,,,,,,,,,,,,,,,
10115,Keegan Murray,9,2023-11-08,23-081,SAC,,POR,W 121-118 (OT),*,31,4,17,0.235,3,11,0.273,1,6,,,,,,,,,,,,,,,,,,,
10116,Keegan Murray,9,2023-11-15,23-088,SAC,@,LAL,W 125-110,*,31,3,9,0.333,1,2,0.5,2,7,,,,,,,,,,,,,,,,,,,
10117,Keegan Murray,9,2023-12-29,23-132,SAC,@,ATL,W 117-110,*,36,4,12,0.333,3,6,0.5,1,6,,,,,,,,,,,,,,,,,,,
10118,Kris Murray,9,2024-01-09,23-143,POR,@,NYK,L 84-112,,16,3,10,0.3,3,7,0.429,0,3,,,,,,,,,,,,,,,,,,,
10119,Kris Murray,9,2024-01-11,23-145,POR,@,OKC,L 77-139,,23,4,10,0.4,3,5,0.6,1,5,,,,,,,,,,,,,,,,,,,
10120,Kris Murray,9,2024-02-23,23-188,POR,,DEN,L 112-127,*,35,4,10,0.4,4,6,0.667,0,4,,,,,,,,,,,,,,,,,,,
10121,Mike Muscala,9,2024-02-07,32-221,DET,@,SAC,W 133-120,*,25,3,8,0.375,0,2,0,3,6,,,,,,,,,,,,,,,,,,,
10122,Svi Mykhailiuk,9,2024-01-11,26-215,BOS,@,MIL,L 102-135,,17,3,5,0.6,1,2,0.5,2,3,,,,,,,,,,,,,,,,,,,
10123,Larry Nance Jr.,9,2023-11-01,30-304,NOP,@,OKC,W 110-106,,23,4,5,0.8,3,4,0.75,1,1,,,,,,,,,,,,,,,,,,,
10124,Larry Nance Jr.,9,2023-12-28,30-361,NOP,,UTA,W 112-105,,25,4,6,0.667,3,4,0.75,1,2,,,,,,,,,,,,,,,,,,,
10125,Andrew Nembhard,9,2023-11-06,23-294,IND,,SAS,W 152-111,,16,3,7,0.429,0,2,0,3,5,,,,,,,,,,,,,,,,,,,
10126,Andrew Nembhard,9,2023-11-08,23-296,IND,,UTA,W 134-118,,19,4,4,1,3,3,1,1,1,,,,,,,,,,,,,,,,,,,
10127,Andrew Nembhard,9,2024-01-08,23-357,IND,,BOS,W 133-131,,12,4,6,0.667,3,4,0.75,1,2,,,,,,,,,,,,,,,,,,,
10128,Andrew Nembhard,9,2024-01-21,24-005,IND,@,PHO,L 110-117,,25,3,9,0.333,3,9,0.333,0,0,,,,,,,,,,,,,,,,,,,
10129,Andrew Nembhard,9,2024-02-06,24-021,IND,,HOU,W 132-129,*,31,4,5,0.8,3,4,0.75,1,1,,,,,,,,,,,,,,,,,,,
10130,Aaron Nesmith,9,2023-11-01,24-016,IND,@,BOS,L 104-155,,19,4,9,0.444,3,3,1,1,6,,,,,,,,,,,,,,,,,,,
10131,Aaron Nesmith,9,2023-11-30,24-045,IND,@,MIA,L 132-142,,23,4,5,0.8,4,4,1,0,1,,,,,,,,,,,,,,,,,,,
10132,Aaron Nesmith,9,2024-01-03,24-079,IND,,MIL,W 142-130,*,22,4,4,1,3,3,1,1,1,,,,,,,,,,,,,,,,,,,
10133,Aaron Nesmith,9,2024-03-01,24-137,IND,@,NOP,L 102-129,*,21,3,5,0.6,1,2,0.5,2,3,,,,,,,,,,,,,,,,,,,
10134,Georges Niang,9,2023-11-17,30-153,CLE,,DET,W 108-100,,27,3,4,0.75,2,3,0.667,1,1,,,,,,,,,,,,,,,,,,,
10135,Georges Niang,9,2024-01-15,30-212,CLE,,CHI,W 109-91,,19,3,11,0.273,0,2,0,3,9,,,,,,,,,,,,,,,,,,,
10136,Georges Niang,9,2024-02-22,30-250,CLE,,ORL,L 109-116,,16,3,4,0.75,1,1,1,2,3,,,,,,,,,,,,,,,,,,,
10137,Georges Niang,9,2024-02-23,30-251,CLE,@,PHI,L 97-104,,21,2,4,0.5,0,1,0,2,3,,,,,,,,,,,,,,,,,,,
10138,Georges Niang,9,2024-03-05,30-262,CLE,,BOS,W 105-104,,27,3,4,0.75,0,0,,3,4,,,,,,,,,,,,,,,,,,,
10139,Zeke Nnaji,9,2023-11-01,22-296,DEN,@,MIN,L 89-110,,18,4,9,0.444,3,6,0.5,1,3,,,,,,,,,,,,,,,,,,,
10140,Zeke Nnaji,9,2023-11-19,22-314,DEN,@,CLE,L 109-121,,14,3,4,0.75,2,3,0.667,1,1,,,,,,,,,,,,,,,,,,,
10141,Jusuf Nurkić,9,2023-11-22,29-091,PHO,,GSW,W 123-115,*,17,4,8,0.5,4,7,0.571,0,1,,,,,,,,,,,,,,,,,,,
10142,Jusuf Nurkić,9,2023-12-19,29-118,PHO,@,POR,L 104-109,*,31,4,11,0.364,4,9,0.444,0,2,,,,,,,,,,,,,,,,,,,
10143,Jusuf Nurkić,9,2024-01-03,29-133,PHO,,LAC,L 122-131,*,25,3,5,0.6,3,4,0.75,0,1,,,,,,,,,,,,,,,,,,,
10144,Jusuf Nurkić,9,2024-01-11,29-141,PHO,@,LAL,W 127-109,*,28,3,6,0.5,3,6,0.5,0,0,,,,,,,,,,,,,,,,,,,
10145,Jusuf Nurkić,9,2024-02-13,29-174,PHO,,SAC,W 130-125,*,25,3,6,0.5,3,6,0.5,0,0,,,,,,,,,,,,,,,,,,,
10146,Jordan Nwora,9,2023-12-18,25-100,IND,,LAC,L 127-151,,16,4,8,0.5,3,4,0.75,1,4,,,,,,,,,,,,,,,,,,,
10147,Jordan Nwora,9,2024-01-10,25-123,IND,,WAS,W 112-104,,17,4,7,0.571,3,5,0.6,1,2,,,,,,,,,,,,,,,,,,,
10148,Jordan Nwora,9,2024-03-05,25-178,TOR,,NOP,L 98-139,,20,4,15,0.267,3,9,0.333,1,6,,,,,,,,,,,,,,,,,,,
10149,Onyeka Okongwu,9,2023-11-25,22-349,ATL,@,WAS,W 136-108,,25,3,6,0.5,3,5,0.6,0,1,,,,,,,,,,,,,,,,,,,
10150,Onyeka Okongwu,9,2023-12-22,23-011,ATL,@,MIA,L 113-122,,26,4,7,0.571,4,6,0.667,0,1,,,,,,,,,,,,,,,,,,,
10151,Onyeka Okongwu,9,2024-01-13,23-033,ATL,,WAS,L 99-127,,19,3,5,0.6,3,5,0.6,0,0,,,,,,,,,,,,,,,,,,,
10152,Onyeka Okongwu,9,2024-01-19,23-039,ATL,@,MIA,W 109-108,,26,4,5,0.8,3,4,0.75,1,1,,,,,,,,,,,,,,,,,,,
10153,Isaac Okoro,9,2023-12-02,22-310,CLE,@,DET,W 110-101,,33,4,7,0.571,3,4,0.75,1,3,,,,,,,,,,,,,,,,,,,
10154,Isaac Okoro,9,2023-12-08,22-316,CLE,@,MIA,W 111-99,,22,3,4,0.75,2,2,1,1,2,,,,,,,,,,,,,,,,,,,
10155,Isaac Okoro,9,2024-01-03,22-342,CLE,,WAS,W 140-101,*,20,4,4,1,3,3,1,1,1,,,,,,,,,,,,,,,,,,,
10156,Isaac Okoro,9,2024-02-27,23-032,CLE,,DAL,W 121-119,,25,3,5,0.6,1,1,1,2,4,,,,,,,,,,,,,,,,,,,
10157,Isaac Okoro,9,2024-03-08,23-042,CLE,,MIN,W 113-104 (OT),*,43,3,5,0.6,2,4,0.5,1,1,,,,,,,,,,,,,,,,,,,
10158,Kelly Olynyk,9,2023-10-28,32-192,UTA,@,PHO,L 104-126,,16,4,5,0.8,4,4,1,0,1,,,,,,,,,,,,,,,,,,,
10159,Kelly Olynyk,9,2023-12-13,32-238,UTA,,NYK,W 117-113,*,30,3,9,0.333,2,7,0.286,1,2,,,,,,,,,,,,,,,,,,,
10160,Kelly Olynyk,9,2023-12-16,32-241,UTA,@,SAC,L 104-125,*,29,4,7,0.571,3,5,0.6,1,2,,,,,,,,,,,,,,,,,,,
10161,Kelly Olynyk,9,2024-01-03,32-259,UTA,,DET,W 154-148 (OT),,20,3,5,0.6,3,4,0.75,0,1,,,,,,,,,,,,,,,,,,,
10162,Kelly Olynyk,9,2024-01-10,32-266,UTA,,DEN,W 124-111,,19,4,5,0.8,3,4,0.75,1,1,,,,,,,,,,,,,,,,,,,
10163,Kelly Olynyk,9,2024-01-23,32-279,UTA,@,NOP,L 124-153,,14,4,5,0.8,4,4,1,0,1,,,,,,,,,,,,,,,,,,,
10164,Royce O'Neale,9,2023-11-03,30-151,BRK,@,CHI,W 109-107,,32,3,10,0.3,0,1,0,3,9,,,,,,,,,,,,,,,,,,,
10165,Royce O'Neale,9,2024-02-13,30-253,PHO,,SAC,W 130-125,,30,3,7,0.429,1,2,0.5,2,5,,,,,,,,,,,,,,,,,,,
10166,Royce O'Neale,9,2024-02-14,30-254,PHO,,DET,W 116-100,,24,3,6,0.5,0,0,,3,6,,,,,,,,,,,,,,,,,,,
10167,Royce O'Neale,9,2024-03-03,30-272,PHO,,OKC,L 110-118,*,33,3,10,0.3,0,2,0,3,8,,,,,,,,,,,,,,,,,,,
10168,Cedi Osman,9,2023-10-31,28-206,SAS,@,PHO,W 115-114,,19,4,7,0.571,3,5,0.6,1,2,,,,,,,,,,,,,,,,,,,
10169,Cedi Osman,9,2024-01-07,28-274,SAS,@,CLE,L 115-117,,21,4,7,0.571,3,3,1,1,4,,,,,,,,,,,,,,,,,,,
10170,Cedi Osman,9,2024-01-13,28-280,SAS,,CHI,L 116-122,,23,3,5,0.6,0,0,,3,5,,,,,,,,,,,,,,,,,,,
10171,Cedi Osman,9,2024-01-24,28-291,SAS,,OKC,L 114-140,,14,3,5,0.6,2,2,1,1,3,,,,,,,,,,,,,,,,,,,
10172,Kelly Oubre Jr.,9,2024-02-14,28-067,PHI,,MIA,L 104-109,*,33,4,11,0.364,4,7,0.571,0,4,,,,,,,,,,,,,,,,,,,
10173,Chris Paul,9,2023-11-08,38-186,GSW,@,DEN,L 105-108,,27,4,10,0.4,3,6,0.5,1,4,,,,,,,,,,,,,,,,,,,
10174,Chris Paul,9,2023-11-11,38-189,GSW,,CLE,L 110-118,,26,4,7,0.571,3,5,0.6,1,2,,,,,,,,,,,,,,,,,,,
10175,Chris Paul,9,2023-12-19,38-227,GSW,,BOS,W 132-126 (OT),,35,4,12,0.333,3,7,0.429,1,5,,,,,,,,,,,,,,,,,,,
10176,Chris Paul,9,2023-12-28,38-236,GSW,,MIA,L 102-114,,27,3,6,0.5,2,2,1,1,4,,,,,,,,,,,,,,,,,,,
10177,Chris Paul,9,2024-01-04,38-243,GSW,,DEN,L 127-130,*,30,4,7,0.571,3,4,0.75,1,3,,,,,,,,,,,,,,,,,,,
10178,Chris Paul,9,2024-02-27,38-297,GSW,@,WAS,W 123-112,,22,3,6,0.5,0,1,0,3,5,,,,,,,,,,,,,,,,,,,
10179,Gary Payton II,9,2023-11-03,30-337,GSW,@,OKC,W 141-139,,22,4,6,0.667,3,3,1,1,3,,,,,,,,,,,,,,,,,,,
10180,Gary Payton II,9,2024-03-06,31-096,GSW,,MIL,W 125-90,,16,4,4,1,3,3,1,1,1,,,,,,,,,,,,,,,,,,,
10181,Julian Phillips,9,2024-01-30,20-086,CHI,,TOR,L 107-118,,20,3,4,0.75,1,1,1,2,3,,,,,,,,,,,,,,,,,,,
10182,Julian Phillips,9,2024-02-22,20-109,CHI,,BOS,L 112-129,,18,4,5,0.8,3,4,0.75,1,1,,,,,,,,,,,,,,,,,,,
10183,Brandin Podziemski,9,2024-02-08,20-348,GSW,@,IND,W 131-109,*,34,3,9,0.333,3,8,0.375,0,1,,,,,,,,,,,,,,,,,,,
10184,Jakob Poeltl,9,2023-11-02,28-018,TOR,@,PHI,L 99-114,*,28,4,8,0.5,4,8,0.5,0,0,,,,,,,,,,,,,,,,,,,
10185,Craig Porter Jr.,9,2023-12-27,23-304,CLE,@,DAL,W 113-110,*,30,4,11,0.364,4,10,0.4,0,1,,,,,,,,,,,,,,,,,,,
