Rk,Player,PTS,Date,Age,Team,,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Pos.,Player-additional
242,Jimmy Butler,36,2023-11-30,34-077,MIA,,IND,W 142-132,*,38,9,19,0.474,9,18,0.5,0,1,0,18,20,0.9,0.647,4,7,11,3,0,0,3,1,36,29.1,1.9,-3,F-G,butleji01
243,Jordan Clarkson,36,2024-01-03,31-210,UTA,,DET,W 154-148 (OT),,38,11,20,0.55,7,15,0.467,4,5,0.8,10,11,0.909,0.725,1,5,6,3,1,0,5,1,36,25.9,-0.5,5,G,clarkjo01
244,Stephen Curry,36,2024-01-02,35-294,GSW,,ORL,W 121-115,*,35,12,20,0.6,8,11,0.727,4,9,0.444,8,11,0.727,0.725,1,1,2,6,4,1,2,4,36,31.9,17.4,12,G,curryst01
245,Donte DiVincenzo,36,2024-02-08,27-008,NYK,,DAL,L 108-122,*,43,13,26,0.5,6,14,0.429,7,12,0.583,3,4,0.75,0.648,0,2,2,3,0,0,4,0,36,21.3,2,-19,G,divindo01
246,Luka Dončić,36,2023-12-02,24-277,DAL,,OKC,L 120-126,*,46,11,22,0.5,6,9,0.667,5,13,0.385,9,14,0.643,0.639,2,13,15,18,2,2,7,2,36,36.5,14.2,-7,G-F,doncilu01
247,Anthony Edwards,36,2024-01-07,22-155,MIN,@,DAL,L 108-115,*,37,14,27,0.519,11,21,0.524,3,6,0.5,5,7,0.714,0.598,5,5,10,3,3,1,2,3,36,29.5,16.5,-5,G-F,edwaran01
248,Joel Embiid,36,2024-01-19,29-309,PHI,@,ORL,W 124-109,*,31,12,22,0.545,11,20,0.55,1,2,0.5,11,11,1,0.671,1,6,7,2,4,0,1,1,36,31.9,16,12,C,embiijo01
249,De'Aaron Fox,36,2023-11-24,25-339,SAC,@,MIN,W 124-111,*,37,14,32,0.438,11,25,0.44,3,7,0.429,5,6,0.833,0.52,2,5,7,12,1,0,2,3,36,27.9,8,19,G,foxde01
250,Darius Garland,36,2023-12-11,23-319,CLE,@,ORL,L 94-104,*,39,11,23,0.478,8,14,0.571,3,9,0.333,11,12,0.917,0.636,1,5,6,5,2,0,3,0,36,28.6,15.5,6,G,garlada01
251,Paul George,36,2023-10-27,33-178,LAC,@,UTA,L 118-120,*,38,9,17,0.529,6,8,0.75,3,9,0.333,15,15,1,0.763,1,3,4,1,0,0,2,1,36,27.6,4.3,3,F-G,georgpa01
252,Shai Gilgeous-Alexander,36,2023-12-27,25-168,OKC,,NYK,W 129-120,*,36,13,23,0.565,11,18,0.611,2,5,0.4,8,9,0.889,0.668,1,6,7,8,2,2,1,0,36,35.2,16.4,12,G,gilgesh01
253,Shai Gilgeous-Alexander,36,2024-01-02,25-174,OKC,,BOS,W 127-123,*,37,14,22,0.636,11,17,0.647,3,5,0.6,5,8,0.625,0.705,0,6,6,7,1,0,0,5,36,30.7,9.4,3,G,gilgesh01
254,Shai Gilgeous-Alexander,36,2024-02-25,25-228,OKC,@,HOU,W 123-110,*,37,13,23,0.565,11,20,0.55,2,3,0.667,8,9,0.889,0.668,0,5,5,7,3,1,4,2,36,30,9.6,17,G,gilgesh01
255,Jalen Green,36,2024-01-26,21-351,HOU,@,CHO,W 138-104,*,28,12,20,0.6,11,13,0.846,1,7,0.143,11,12,0.917,0.712,0,10,10,4,2,0,3,0,36,31.2,8.4,15,G,greenja05
256,Rui Hachimura,36,2024-02-14,26-006,LAL,@,UTA,W 138-122,*,34,13,19,0.684,7,11,0.636,6,8,0.75,4,5,0.8,0.849,0,2,2,1,0,1,0,0,36,29.5,10.6,25,F,hachiru01
257,Tim Hardaway Jr.,36,2024-01-29,31-319,DAL,,ORL,W 131-129,*,37,11,17,0.647,6,8,0.75,5,9,0.556,9,11,0.818,0.824,0,8,8,1,1,0,1,2,36,30,6.8,13,G,hardati02
258,Chet Holmgren,36,2023-11-18,21-201,OKC,@,GSW,W 130-123 (OT),*,37,14,22,0.636,12,17,0.706,2,5,0.4,6,7,0.857,0.718,4,6,10,5,2,2,4,2,36,32.5,13.9,9,F-C,holmgch01
259,Kyrie Irving,36,2024-02-06,31-320,DAL,@,BRK,W 119-107,*,40,15,24,0.625,9,14,0.643,6,10,0.6,0,0,,0.75,0,2,2,5,2,0,3,1,36,27.9,10.2,15,G,irvinky01
260,Jaren Jackson Jr.,36,2024-01-18,24-125,MEM,@,MIN,L 103-118,*,27,15,23,0.652,12,17,0.706,3,6,0.5,3,5,0.6,0.714,1,2,3,1,0,1,3,5,36,22.8,10,-10,F,jacksja02
261,LeBron James,36,2024-01-27,39-028,LAL,@,GSW,W 145-144 (2OT),*,48,14,25,0.56,12,21,0.571,2,4,0.5,6,6,1,0.651,1,19,20,12,0,0,3,2,36,35.1,8.5,-6,F-G,jamesle01
262,Nikola Jokić,36,2023-11-12,28-266,DEN,@,HOU,L 104-107,*,38,13,26,0.5,11,20,0.55,2,6,0.333,8,8,1,0.61,6,15,21,11,0,1,3,3,36,35.9,20.9,12,C-F,jokicni01
263,Nikola Jokić,36,2023-12-02,28-286,DEN,@,SAC,L 117-123,*,38,13,23,0.565,12,19,0.632,1,4,0.25,9,12,0.75,0.636,2,11,13,14,2,1,0,3,36,39.9,21.3,11,C-F,jokicni01
264,Zach LaVine,36,2023-11-24,28-259,CHI,@,TOR,L 108-121,*,38,16,23,0.696,12,15,0.8,4,8,0.5,0,0,,0.783,0,4,4,3,1,0,5,4,36,24,5.5,-2,G-F,lavinza01
265,Kawhi Leonard,36,2023-12-16,32-170,LAC,,NYK,W 144-122,*,30,12,16,0.75,7,10,0.7,5,6,0.833,7,7,1,0.943,1,6,7,4,2,0,0,1,36,36.5,23.1,15,F,leonaka01
266,Kawhi Leonard,36,2024-02-05,32-221,LAC,@,ATL,W 149-144,*,37,13,20,0.65,8,12,0.667,5,8,0.625,5,5,1,0.811,1,1,2,5,1,1,1,2,36,31.6,7.9,8,F,leonaka01
267,Donovan Mitchell,36,2024-02-12,27-158,CLE,,PHI,L 121-123,*,37,9,20,0.45,5,11,0.455,4,9,0.444,14,17,0.824,0.655,1,3,4,6,3,0,3,2,36,29.4,9.5,10,G,mitchdo01
268,Pascal Siakam,36,2023-11-22,29-234,TOR,@,IND,W 132-131,*,38,13,24,0.542,12,21,0.571,1,3,0.333,9,11,0.818,0.624,3,7,10,5,0,1,2,2,36,29.2,3.9,-5,F-C,siakapa01
269,Pascal Siakam,36,2024-01-01,29-274,TOR,,CLE,W 124-121,*,40,13,20,0.65,8,12,0.667,5,8,0.625,5,6,0.833,0.795,0,5,5,2,1,0,1,3,36,28.5,10.9,1,F-C,siakapa01
270,Cam Thomas,36,2023-10-25,22-012,BRK,,CLE,L 113-114,,25,13,21,0.619,11,16,0.688,2,5,0.4,8,11,0.727,0.697,0,3,3,2,1,0,1,0,36,27.6,15.5,5,G,thomaca02
271,Devin Vassell,36,2023-12-15,23-114,SAS,,LAL,W 129-115,*,35,12,19,0.632,7,9,0.778,5,10,0.5,7,7,1,0.815,0,6,6,3,1,1,1,1,36,31.7,12.6,20,G-F,vassede01
272,Franz Wagner,36,2024-02-10,22-167,ORL,,CHI,W 114-108 (OT),*,44,12,22,0.545,7,10,0.7,5,12,0.417,7,10,0.7,0.682,1,2,3,5,0,0,1,3,36,26.8,11.7,3,G-F,wagnefr01
273,Jalen Williams,36,2023-12-27,22-257,OKC,,NYK,W 129-120,*,33,13,17,0.765,8,12,0.667,5,5,1,5,7,0.714,0.896,0,0,0,3,1,1,0,4,36,30.7,18,-2,G,willija06
274,Zion Williamson,36,2023-12-11,23-158,NOP,,MIN,W 121-107,*,33,13,17,0.765,13,17,0.765,0,0,,10,12,0.833,0.808,2,3,5,2,1,1,1,1,36,32.5,16.6,26,F-C,willizi01
275,Zion Williamson,36,2024-02-14,23-223,NOP,,WAS,W 133-126,*,34,15,21,0.714,15,21,0.714,0,0,,6,9,0.667,0.721,2,4,6,8,0,1,1,2,36,33.2,9.1,2,F-C,willizi01
